epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.258,1.2071,2.75457,1.19757,0.85209,0.89936,0.96489,0.69876,0.97757,2.06908,1.05477,0.00020004,0.00020004,0.00020004
2,753.57,1.13148,1.18057,1.15231,0.74079,0.90042,0.75077,0.53442,1.01126,1.68546,1.05029,0.000408498,0.000408498,0.000408498
